publishedAt,source,title,description,url,sentiment_score
2025-04-05T23:59:26Z,WLKY Louisville,"Louisville 'Hands Off!' protest against Trump draws hundreds, possibly thousands","Hundreds, possibly thousands, of people gathered in Jefferson Square Park Saturday as part of the ""March for Our Democracy"" protest.",https://www.wlky.com/article/louisville-protest-donald-trump-hands-off-administration/64396356,-0.5093
2025-04-05T23:59:04Z,BBC News,Trump has turned his back on the foundation of US economic might - the fallout will be messy,What made the US step back from the system that it profited handsomely from for decades?,https://www.bbc.com/news/articles/cp34nkj1kv2o,0.4019
2025-04-05T23:59:04Z,BBC News,Trump has turned his back on the foundation of US economic might,What made the US step back from the system that it profited handsomely from for decades?,https://www.bbc.co.uk/news/articles/cp34nkj1kv2o,0.6369
2025-04-05T23:57:27Z,Raw Story,'Ugly and dangerous turn': Conservative analyst points to 'writing on the wall' for GOP​,"Republicans are ""frozen"" and still ""on their knees"" when it comes to standing up to Donald Trump, but they privately believe the President has brought a dangerous change to the party, according to a conservative analyst on Saturday.Conservative political pund…",https://www.rawstory.com/republicans-are-frozen-charlie-sykes/,-0.5859
2025-04-05T23:56:28Z,Freerepublic.com,Trump Shares Video Suggesting He’s Crashing Stock Market On Purpose,"President Donald Trump shared a TikTok video on his Truth Social account that asserted that he is crashing the stock market intentionally. “Trump is crashing the stock market by 20% this month, but he’s doing it on purpose. This is why Warren Buffett just sai…",https://freerepublic.com/focus/f-bloggers/4309107/posts,0.4497
2025-04-05T23:53:24Z,Thenightly.com.au,Tariffs news: Jaguar Land Rover in UK pauses shipments to US amid tariff uncertainty,One of the UK’s biggest car producers has sensationally announced it is pausing shipments to the United States as it works to mitigate the effect of a 25 per cent tax on vehicle imports.,https://thenightly.com.au/business/tariffs-news-jaguar-land-rover-in-uk-pauses-shipments-to-us-amid-tariff-uncertainty-c-18277208,0.1027
2025-04-05T23:52:50Z,Slashdot.org,Jaguar Land Rover to pause shipments to U.S. over tariffs - NBC News,Jaguar Land Rover to pause shipments to U.S. over tariffsNBC News Trump urges Americans to 'hang tough' on tariffs plan as markets tumbleFox News British Carmaker Jaguar Land Rover Pauses Shipments to U.S.The New York Times Jaguar Land Rover to pause US shipm…,https://slashdot.org/firehose.pl?op=view&amp;id=176938649,-0.128
2025-04-05T23:52:44Z,Otago Daily Times,Trump's tariffs take effect,"US President Donald Trump's unilateral 10% tariff on all imports from many countries have taken effect, with higher levies on goods from 57 larger...",https://www.odt.co.nz/business/trumps-tariffs-take-effect,0.0
2025-04-05T23:51:29Z,Biztoc.com,Berkshire Hathaway Denies That Buffett Said He Supports Trump Economic Policies,,https://biztoc.com/x/d4d253aac71e96d9,-0.0772
2025-04-05T23:49:48Z,New Zealand Herald,"Thousands march in US cities opposing Trump’s government cuts, tariffs",'It’s economic lunacy ... He is going to push us into a global recession.',https://www.nzherald.co.nz/world/thousands-march-in-us-cities-opposing-trumps-government-cuts-tariffs/IMQUHXYT6ZGIBAE6P55MC6UPCA/,-0.6124
2025-04-05T23:48:56Z,Freerepublic.com,Trump just torched Labour’s plan. Here’s what they’ll do instead,"When a senior figure in the government called the White House on Wednesday morning to find out how bad Donald Trump’s tariffs were going to be for Britain, information was scant. Even Trump’s aides were in the dark about what he would decide. At 9pm that even…",https://freerepublic.com/focus/f-news/4309104/posts,-0.5423
2025-04-05T23:46:42Z,Freerepublic.com,Trump’s Tariffs Are Working — Here Are All The Countries Already Backing Down,"President Trump’s tariffs are already having an impact. Earlier this week, Trump announced a sweeping new trade policy that included a universal 10 percent tariff on all imports into the United States. In addition to this baseline measure, the administration …",https://freerepublic.com/focus/f-news/4309103/posts,0.4404
2025-04-05T23:40:33Z,Biztoc.com,Musk Calls For United States And European Union To Move To Zero-Tariff System,"Topline
Elon Musk, billionaire Tesla CEO and Department of Government Efficiency chief, told a meeting of Italy’s right-wing League Party he wants the United States and Europe to move to a system of zero tariffs and free trade, days after President Donald Tru…",https://biztoc.com/x/6a1489047d698528,0.9201
2025-04-05T23:40:17Z,Biztoc.com,Brazil’s Petrobras Moves Closer to Drilling in Key Offshore Area,,https://biztoc.com/x/0e428638a99bf194,0.0
2025-04-05T23:40:00Z,The Japan Times,Trump promised a manufacturing boom. Industries are not so sure,"Some question the tariffs' underlying logic, saying that supply chain issues, high costs, and other obstacles stand may in the way.",https://www.japantimes.co.jp/business/2025/04/06/economy/trump-tariffs-manufacturing-boom/,-0.3764
2025-04-05T23:36:37Z,The Wall Street Journal,The WSJ Estimates the Effect of Trump’s Tariffs on the iPhone,,https://www.wsj.com/tech/personal-tech/iphone-apple-tariffs-china-bb20c7a3?mod=hp_lead_pos7,0.0
2025-04-05T23:35:00Z,Thehillstimes.in,"Not to let crisis go waste, Pakistan says US tariffs opportunity for new negotiations","Islamabad, April 5: Prime Minister Shehbaz Sharif set up two committees to tackle the economic implication of the new tariffs imposed by US President Donald Trump, Finance Minister Muhammad Aurangzeb said on Saturday. The two bodies include a steering committ…",https://thehillstimes.in/international/not-to-let-crisis-go-waste-pakistan-says-us-tariffs-opportunity-for-new-negotiations,0.4577
